,k,bid_c,ask_c,bid_p,ask_p,e,q,qty_p,qty_c,s0,name
0,15250,4050.3669,4234.4745,,19.3797,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
1,15750,3565.8733,3730.6011,,19.3797,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
2,16250,3061.9999,3236.4176,,19.3797,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
3,16750,2567.8163,2742.2341,9.6899,19.3797,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
4,17000,2325.5695,2499.9872,9.6899,29.0696,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
5,17250,2073.6328,2257.7404,9.6899,38.7595,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
6,17500,1831.386,2005.8037,19.3797,38.7595,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
7,17750,1589.1392,1763.5569,29.0696,48.4494,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
8,18000,1346.8923,1521.3101,38.7595,58.1392,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
9,18250,1162.7848,1240.3037,48.4494,77.519,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
10,18500,930.2278,1007.7468,67.8291,96.8987,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
11,18750,717.0506,784.8797,106.5886,125.9683,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
12,19000,552.3228,591.0823,164.7278,184.1076,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
13,19250,406.9747,436.0443,261.6266,281.0063,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
14,19500,300.3861,319.7658,397.2848,426.3544,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
15,19750,222.8671,242.2468,552.3228,610.462,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
16,20000,164.7278,184.1076,736.4303,813.9493,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
17,20250,125.9683,145.3481,949.6076,1027.1265,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
18,20500,96.8987,125.9683,1172.4746,1249.9936,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
19,20750,77.519,96.8987,1395.3417,1482.5506,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
20,21250,48.4494,67.8291,1812.0063,1996.1138,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
21,21750,29.0696,38.7595,2277.1202,2480.6075,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex
22,22250,9.6899,29.0696,2761.6138,2965.1011,2020-12-18 08:00:00,2020-12-16 04:45:42,0,0,19379.746,okex

