,k,bid_c,ask_c,mark_c,bid_p,ask_p,mark_p,e,q,qty_p,qty_c,s0,name
0,17500,,,1691.858,,9.5962,,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
1,17750,,,1441.8495,,19.1925,,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
2,18000,,,1191.8412,,19.1925,,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
3,18250,,,941.8326,,19.1925,,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
4,18500,,,691.8243,,9.5962,,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
5,18750,393.4452,489.4075,441.8158,,9.5962,,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
6,19000,143.9434,239.9056,191.8074,,9.5962,0.0002,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
7,19250,,9.5962,2.3689,28.7887,95.9623,60.5702,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
8,19500,,9.5962,,259.0981,345.4641,308.2096,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
9,19750,,9.5962,,508.5999,594.966,558.218,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
10,20000,,9.5962,,777.2942,844.4678,808.2265,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
11,20250,,19.1925,,,,1058.235,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
12,20500,,19.1925,,,,1308.2434,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
13,20750,,19.1925,,,,1558.2519,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit
14,21000,,19.1925,,,,1808.2604,2020-12-15 08:00:00,2020-12-15 07:51:28.656Z,0,0,19192.45,deribit

