strike,2020-11-28 08:00:00,2020-12-04 08:00:00,2020-12-11 08:00:00,2020-12-18 08:00:00
16500,17.442785169740155,6.655119132374194,4.533999289039659,3.532826064731414
16750,15.804968804334829,6.2600487356241405,4.388113631097392,3.443525698868946
17000,14.669389616250447,5.816721131290401,4.281991555330384,3.361329864772459
17250,13.10386810835523,5.493639870721664,3.9940665889921054,3.285056799639086
17500,12.48073729363642,5.388825552948735,3.9589679540355522,3.2556250334028083
17750,12.210182840318552,5.319449707995325,3.924036679945336,3.2300815379776044
18000,12.079299040033696,5.2272198285144,3.889704434806945,3.1877576538994923
18250,12.551709895471236,5.1737640728486545,3.8566361390247286,3.17063315182497
18500,12.53332034264841,5.167905283141851,3.793709858608547,3.158469779868066
18750,12.809931455865948,5.154810935151637,3.8313593323971054,3.1520888969845036
19000,13.733034515518343,5.215970535469709,3.844445667738688,3.152546480957481
